1,iPhone,Apple,[mobiles],/images/shop/iphone.png,iOS
2,XPeria,Sony,[mobiles],/images/shop/iphone.png,Android
3,iMac,Apple,[desktop],/images/shop/imac.png,
4,iAir,Apple,[laptops],/images/shop/iair.png,
5,Galaxy Note,Samsung,[tablets],/images/shop/galaxynote.png,
6,Nexus,Google,[tablets],/images/shop/nexus.png,
7,Viera,Panasonic,[lcdtv],/images/shop/panasonicviera.png,
8,Bravia,Sony,[ledtv],/images/shop/sonybravia.png,
9,VAIO,Sony,[laptops],/images/shop/sonyvaio.png,
10,Mixx 3,Lenovo,[laptops:tablets],/images/shop/lenovomixx.png,
